P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
E-KOS-09-013,KhandbariN.P.,Sankhuwasabha,Eastern,0.001,0.027000000000000003,0.23261117445838086,0.523,0.36061026352288483,0.036885245901639344,0.03714,Low
E-KOS-06-034,Madhuwan,Sunsari,Eastern,0.001,0.008,0.44127708095781076,0.606,0.5450762829403606,0.0389344262295082,0.03807,Low
E-MEC-03-034,PhikalBazar,Ilam,Eastern,0.0,0.012,0.1459521094640821,0.319,0.1664355062413314,0.0,0.0,Lowest
W-GAN-40-044,Thumki,Kaski,Western,0.005000000000000001,0.003,0.7149372862029648,0.0,0.2912621359223301,0.036885245901639344,0.037790000000000004,Low
F-SET-71-020,Khairala,Kailali,Far-Western,0.0,0.005000000000000001,0.3694412770809578,0.397,0.35644937586685166,0.0,0.0,Lowest
W-GAN-38-037,Ramjakot,Tanahu,Western,0.013000000000000001,0.005000000000000001,0.5997719498289624,0.404,0.5020804438280166,0.06557377049180328,0.06549,Medium-Low
E-SAG-16-018,BhawanpurKalabanzar,Siraha,Eastern,0.003,0.004,0.21550741163055875,0.797,0.5409153952843272,0.0389344262295082,0.03966,Low
F-SET-70-043,Sanagau,Doti,Far-Western,0.0,0.003,0.8665906499429874,0.8260000000000001,0.9570041608876559,0.0,0.0,Lowest
W-DHA-44-021,Durlung,Parbat,Western,0.0,0.003,0.6362599771949828,0.248,0.41608876560332864,0.01434426229508197,0.015340000000000001,Lowest
F-SET-71-023,Malakheti,Kailali,Far-Western,0.0,0.024,0.3694412770809578,0.397,0.35644937586685166,0.0,0.0,Lowest
W-LUM-50-048,Mahendrakot,Kapilbastu,Western,0.001,0.008,0.6465222348916762,0.664,0.710124826629681,0.036885245901639344,0.03608,Low
C-NAR-33-002,Amlekhganj,Bara,Central,0.016,0.007000000000000001,0.42873432155074115,0.7200000000000001,0.6158113730929264,0.08401639344262295,0.08352000000000001,Medium-Low
E-SAG-16-075,Malhaniya Gamharia,Siraha,Eastern,0.007000000000000001,0.003,0.21550741163055875,0.797,0.5409153952843272,0.0430327868852459,0.043120000000000006,Low
M-RAP-52-003,Bangesal,Pyuthan,Mid-Western,0.0,0.007000000000000001,0.5940706955530217,0.532,0.5866851595006933,0.018442622950819672,0.01828,Lowest
W-GAN-38-005,Barbhanjyang,Tanahu,Western,0.049,0.005000000000000001,0.5997719498289624,0.404,0.5020804438280166,0.10450819672131148,0.10515000000000002,Medium-Low
C-BAG-27-028,Jorpati,Kathmandu,Central,0.191,0.08700000000000001,0.8768529076396807,0.18200000000000002,0.5159500693481275,0.42418032786885246,0.42407000000000006,Highest
E-SAG-11-018,Khumjung,Solukhumbu,Eastern,0.002,0.002,0.08437856328392246,0.30600000000000005,0.11927877947295418,0.020491803278688527,0.02116,Lowest
W-LUM-48-014,Deurali,Nawalparasi,Western,0.015,0.016,0.5062713797035348,0.351,0.40776699029126207,0.09836065573770492,0.0985,Medium-Low
E-MEC-03-003,Barbote,Ilam,Eastern,0.0,0.007000000000000001,0.1459521094640821,0.319,0.1664355062413314,0.0,0.0,Lowest
W-DHA-42-011,Lete,Mustang,Western,0.0,0.001,0.8882554161915621,0.36800000000000005,0.651872399445215,0.010245901639344263,0.00924,Lowest
F-MAH-75-004,Byash,Darchula,Far-Western,0.0,0.001,0.9646522234891677,0.505,0.7933425797503467,0.0,0.0,Lowest
E-SAG-16-043,Hanumannagar(Pra.Dha.),Siraha,Eastern,0.003,0.005000000000000001,0.21550741163055875,0.797,0.5409153952843272,0.04098360655737705,0.04099,Low
M-KAR-64-002,Chapre,Kalikot,Mid-Western,0.0,0.004,0.6510832383124288,0.876,0.8599167822468793,0.006147540983606557,0.006690000000000001,Lowest
F-SET-68-003,Bhamchaur,Bajhang,Far-Western,0.0,0.005000000000000001,0.8631698973774231,0.7050000000000001,0.869625520110957,0.0,0.0,Lowest
M-KAR-64-022,Phukot,Kalikot,Mid-Western,0.0,0.005000000000000001,0.6510832383124288,0.876,0.8599167822468793,0.0,0.0,Lowest
M-BHE-60-017,Gauri,Dailekh,Mid-Western,0.0,0.003,0.7457240592930445,0.759,0.8363384188626907,0.0,0.0,Lowest
C-JAN-19-085,Rohuwa,Sarlahi,Central,0.012,0.003,0.346636259977195,0.835,0.6463245492371705,0.05942622950819672,0.05962,Low
F-SET-71-021,KotaTulsipur,Kailali,Far-Western,0.0,0.013000000000000001,0.3694412770809578,0.397,0.35644937586685166,0.0,0.0,Lowest
